,PX_VOLUME
2015-01-01,233516
2015-01-02,268708
2015-01-05,375782
2015-01-06,451642
2015-01-07,460083
2015-01-08,362081
2015-01-09,421007
2015-01-12,394946
2015-01-13,476541
2015-01-14,510252
2015-01-15,478340
2015-01-16,175626
2015-01-19,175626
2015-01-20,49738
2015-01-21,340252
2015-01-22,426829
2015-01-23,374289
2015-01-26,310638
2015-01-27,313141
2015-01-28,365440
2015-01-29,300732
2015-01-30,454142
2015-02-02,511409
2015-02-03,644919
2015-02-04,577515
2015-02-05,596851
2015-02-06,584976
2015-02-09,536364
2015-02-10,501701
2015-02-11,519272
2015-02-12,563662
2015-02-13,437072
2015-02-16,437072
2015-02-17,518799
2015-02-18,257476
2015-02-19,125210
2015-02-20,30664
2015-02-23,475383
2015-02-24,293101
2015-02-25,429524
2015-02-26,459584
2015-02-27,399494
2015-03-02,427177
2015-03-03,370597
2015-03-04,463989
2015-03-05,370953
2015-03-06,406840
2015-03-09,409877
2015-03-10,395761
2015-03-11,404590
2015-03-12,358381
2015-03-13,395722
2015-03-16,367600
2015-03-17,346310
2015-03-18,220638
2015-03-19,106907
2015-03-20,26768
2015-03-23,292417
2015-03-24,309553
2015-03-25,398795
2015-03-26,515277
2015-03-27,384092
2015-03-30,355866
2015-03-31,365748
2015-04-01,451104
2015-04-02,423991
2015-04-03,423991
2015-04-06,325282
2015-04-07,548870
2015-04-08,552627
2015-04-09,449531
2015-04-10,395135
2015-04-13,375534
2015-04-14,431026
2015-04-15,508904
2015-04-16,413134
2015-04-17,230623
2015-04-20,112382
2015-04-21,29604
2015-04-22,329631
2015-04-23,415569
2015-04-24,328322
2015-04-27,250558
2015-04-28,281864
2015-04-29,411097
2015-04-30,340322
2015-05-01,244753
2015-05-04,215046
2015-05-05,389743
2015-05-06,423583
2015-05-07,437022
2015-05-08,434575
2015-05-11,332694
2015-05-12,397345
2015-05-13,426835
2015-05-14,361432
2015-05-15,222089
2015-05-18,144389
2015-05-19,30298
2015-05-20,287129
2015-05-21,329765
2015-05-22,230307
2015-05-25,230307
2015-05-26,330128
2015-05-27,314917
2015-05-28,340682
2015-05-29,452222
2015-06-01,292189
2015-06-02,344508
2015-06-03,371298
2015-06-04,363345
2015-06-05,461016
2015-06-08,339845
2015-06-09,405486
2015-06-10,459765
2015-06-11,352421
2015-06-12,246898
2015-06-15,275187
2015-06-16,233935
2015-06-17,396155
2015-06-18,181875
2015-06-19,116656
2015-06-22,26743
2015-06-23,336224
2015-06-24,312985
2015-06-25,222341
2015-06-26,231957
2015-06-29,286035
2015-06-30,282475
2015-07-01,373405
2015-07-02,297050
2015-07-03,297050
2015-07-06,540608
2015-07-07,527267
2015-07-08,434752
2015-07-09,382334
2015-07-10,349075
2015-07-13,359477
2015-07-14,422756
2015-07-15,334563
2015-07-16,319167
2015-07-17,203485
2015-07-20,102597
2015-07-21,23126
2015-07-22,347986
2015-07-23,316060
2015-07-24,278233
2015-07-27,273614
2015-07-28,338107
2015-07-29,366893
2015-07-30,247662
2015-07-31,334474
2015-08-03,371085
2015-08-04,285786
2015-08-05,367326
2015-08-06,360977
2015-08-07,400070
2015-08-10,491433
2015-08-11,538005
2015-08-12,492271
2015-08-13,420146
2015-08-14,317211
2015-08-17,314275
2015-08-18,200185
2015-08-19,107578
2015-08-20,24784
2015-08-21,377181
2015-08-24,468366
2015-08-25,375650
2015-08-26,368722
2015-08-27,533682
2015-08-28,666328
2015-08-31,757503
2015-09-01,713418
2015-09-02,689301
2015-09-03,539450
2015-09-04,385631
2015-09-07,385631
2015-09-08,508815
2015-09-09,422735
2015-09-10,498992
2015-09-11,395838
2015-09-14,326269
2015-09-15,335953
2015-09-16,421981
2015-09-17,366390
2015-09-18,211301
2015-09-21,104528
2015-09-22,29991
2015-09-23,411957
2015-09-24,371976
2015-09-25,338622
2015-09-28,273906
2015-09-29,265176
2015-09-30,355853
2015-10-01,478979
2015-10-02,420740
2015-10-05,323061
2015-10-06,453101
2015-10-07,547488
2015-10-08,509760
2015-10-09,508680
2015-10-12,408663
2015-10-13,465388
2015-10-14,348241
2015-10-15,370940
2015-10-16,198127
2015-10-19,125840
2015-10-20,38948
2015-10-21,384288
2015-10-22,322742
2015-10-23,406577
2015-10-26,302084
2015-10-27,370825
2015-10-28,521518
2015-10-29,436513
2015-10-30,363307
2015-11-02,305518
2015-11-03,434574
2015-11-04,459307
2015-11-05,437646
2015-11-06,448133
2015-11-09,487992
2015-11-10,445973
2015-11-11,502371
2015-11-12,545351
2015-11-13,480893
2015-11-16,535179
2015-11-17,363714
2015-11-18,251518
2015-11-19,131356
2015-11-20,33714
2015-11-23,516190
