DATE,DGS7
2012-02-29,1.39
2012-03-01,1.44
2012-03-02,1.38
2012-03-05,1.40
2012-03-06,1.35
2012-03-07,1.37
2012-03-08,1.41
2012-03-09,1.43
2012-03-12,1.43
2012-03-13,1.52
2012-03-14,1.69
2012-03-15,1.67
2012-03-16,1.70
2012-03-19,1.77
2012-03-20,1.78
2012-03-21,1.71
2012-03-22,1.69
2012-03-23,1.66
2012-03-26,1.65
2012-03-27,1.59
2012-03-28,1.60
2012-03-29,1.57
2012-03-30,1.61
2012-04-02,1.60
2012-04-03,1.68
2012-04-04,1.62
2012-04-05,1.56
2012-04-06,1.42
2012-04-09,1.42
2012-04-10,1.37
2012-04-11,1.41
2012-04-12,1.44
2012-04-13,1.39
2012-04-16,1.37
2012-04-17,1.40
2012-04-18,1.38
2012-04-19,1.37
2012-04-20,1.38
2012-04-23,1.34
2012-04-24,1.37
2012-04-25,1.38
2012-04-26,1.36
2012-04-27,1.34
2012-04-30,1.33
2012-05-01,1.35
2012-05-02,1.33
2012-05-03,1.34
2012-05-04,1.28
2012-05-07,1.29
2012-05-08,1.26
2012-05-09,1.26
2012-05-10,1.28
2012-05-11,1.24
2012-05-14,1.20
2012-05-15,1.19
2012-05-16,1.19
2012-05-17,1.16
2012-05-18,1.16
2012-05-21,1.18
2012-05-22,1.20
2012-05-23,1.15
2012-05-24,1.20
2012-05-25,1.17
2012-05-28,.
2012-05-29,1.17
2012-05-30,1.06
2012-05-31,1.03
2012-06-01,0.93
2012-06-04,1.01
2012-06-05,1.04
2012-06-06,1.11
2012-06-07,1.10
2012-06-08,1.09
2012-06-11,1.05
2012-06-12,1.12
2012-06-13,1.06
2012-06-14,1.10
2012-06-15,1.06
2012-06-18,1.06
2012-06-19,1.09
2012-06-20,1.12
2012-06-21,1.10
2012-06-22,1.15
2012-06-25,1.10
2012-06-26,1.12
2012-06-27,1.10
2012-06-28,1.06
2012-06-29,1.11
2012-07-02,1.04
2012-07-03,1.08
2012-07-04,.
2012-07-05,1.05
2012-07-06,1.01
2012-07-09,0.98
2012-07-10,0.98
2012-07-11,0.99
2012-07-12,0.98
2012-07-13,0.99
2012-07-16,0.97
2012-07-17,0.99
2012-07-18,0.97
2012-07-19,0.99
2012-07-20,0.95
2012-07-23,0.93
2012-07-24,0.91
2012-07-25,0.91
2012-07-26,0.94
2012-07-27,1.04
2012-07-30,0.99
2012-07-31,0.98
2012-08-01,1.03
2012-08-02,0.98
2012-08-03,1.07
2012-08-06,1.05
2012-08-07,1.13
2012-08-08,1.14
2012-08-09,1.15
2012-08-10,1.11
2012-08-13,1.12
2012-08-14,1.18
2012-08-15,1.25
2012-08-16,1.28
2012-08-17,1.27
2012-08-20,1.26
2012-08-21,1.25
2012-08-22,1.16
2012-08-23,1.13
2012-08-24,1.14
2012-08-27,1.11
2012-08-28,1.10
2012-08-29,1.11
2012-08-30,1.08
2012-08-31,1.01
2012-09-03,.
2012-09-04,1.03
2012-09-05,1.04
2012-09-06,1.12
2012-09-07,1.09
2012-09-10,1.10
