,OXY,XOM,USGG10YR,USGG2YR,CL1,BSBYON,DXY,OPCRTOTL,OPECDALY,EURUSD,MRO,TIPX,SPIP,XOM,MRO,OXY,CL1
,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,VOLUME,VOLUME,VOLUME,VOLUME
2015-01-01,80.5774,92.45,2.1712,0.6645,53.27,,90.276,30302,52.0,1.2104,28.29,19.06,27.99,11337219,6082724,3555803,233516
2015-01-02,80.6174,92.83,2.1105,0.6647,52.69,,91.08,30302,51.78,1.2002,28.6,19.2052,28.25,10220410,5282315,3634610,268708
2015-01-05,77.6286,90.29,2.032,0.6568,50.04,,91.378,30302,48.87,1.1933,27.27,19.2215,28.185,18502381,7905134,6104730,375782
2015-01-06,76.9689,89.81,1.9402,0.625,47.93,,91.499,30302,46.57,1.189,26.86,19.19,28.205,16670713,11319995,6038092,451642
2015-01-07,76.9789,90.72,1.9677,0.6091,48.65,,91.89,30302,44.79,1.1839,27.19,19.1776,28.235,13590721,7213727,5475349,460083
2015-01-08,77.6586,92.23,2.0179,0.6051,48.79,,92.368,30302,45.68,1.1793,27.74,19.17,28.16,15487496,11658155,6734730,362081
2015-01-09,77.5087,92.1,1.9449,0.561,48.36,,91.935,30302,45.19,1.1842,27.65,19.27,28.225,14488415,9600672,5203863,421007
2015-01-12,74.9197,90.33,1.907,0.5449,46.07,,91.983,30302,43.55,1.1834,26.24,19.27,28.245,15176303,8148149,7127751,394946
2015-01-13,74.9397,90.0,1.9,0.5388,45.89,,92.31,30302,41.5,1.1773,25.89,19.27,28.18,17469028,10820389,7084487,476541
2015-01-14,75.4495,89.74,1.8553,0.5006,48.48,,92.161,30302,41.65,1.1789,25.96,19.27,28.335,23272056,10407592,7109842,510252
2015-01-15,75.9593,88.96,1.7149,0.4122,46.25,,92.352,30302,43.14,1.1633,25.47,19.37,28.59,18759590,6164984,7271531,478340
2015-01-16,78.0285,91.12,1.8368,0.4835,48.69,,92.52,30302,43.4,1.1567,26.6,19.4053,28.42,17713093,7354182,6564058,175626
2015-01-19,78.0285,91.12,1.8368,0.4835,48.69,,92.52,30302,43.87,1.1606,26.6,19.4053,28.42,17713093,7354182,6564058,175626
