,OXY,XOM,USGG10YR,USGG2YR,BSBYON,DXY,OPCRTOTL,OPECDALY,EURUSD,MRO,TIPX,SPIP
2015-01-01,80.5774,92.45,2.1712,0.6645,,90.27600000000001,30302,52.0,1.2104,28.29,19.06,27.99
2015-01-02,80.6174,92.83,2.1105,0.6647,,91.08,30302,51.78,1.2002,28.6,19.2052,28.25
2015-01-05,77.6286,90.29,2.032,0.6568,,91.37799999999999,30302,48.87,1.1933,27.27,19.2215,28.185
2015-01-06,76.9689,89.81,1.9402,0.625,,91.499,30302,46.57,1.189,26.86,19.19,28.205
2015-01-07,76.9789,90.72,1.9677,0.6091,,91.89,30302,44.79,1.1839,27.19,19.1776,28.235
2015-01-08,77.6586,92.23,2.0179,0.6051,,92.368,30302,45.68,1.1793,27.74,19.17,28.16
2015-01-09,77.5087,92.1,1.9449,0.561,,91.935,30302,45.19,1.1842,27.65,19.27,28.225
2015-01-12,74.9197,90.33,1.9069999999999998,0.5449,,91.98299999999999,30302,43.55,1.1834,26.24,19.27,28.245
2015-01-13,74.9397,90.0,1.9,0.5388,,92.31,30302,41.5,1.1773,25.89,19.27,28.18
2015-01-14,75.4495,89.74,1.8553,0.5006,,92.161,30302,41.65,1.1789,25.96,19.27,28.335
2015-01-15,75.9593,88.96,1.7149,0.4122,,92.352,30302,43.14,1.1633,25.47,19.37,28.59
2015-01-16,78.0285,91.12,1.8368,0.4835,,92.52,30302,43.4,1.1567,26.6,19.4053,28.42
2015-01-19,78.0285,91.12,1.8368,0.4835,,92.52,30302,43.87,1.1606,26.6,19.4053,28.42
2015-01-20,77.9785,91.09,1.788,0.4914,,93.046,30302,43.04,1.155,25.94,19.4,28.49
2015-01-21,79.208,91.87,1.8717,0.5074,,92.904,30302,43.25,1.161,26.59,19.31,28.345
2015-01-22,78.8281,92.87,1.8631,0.5174,,94.07700000000001,30302,43.05,1.1366,26.83,19.31,28.345
2015-01-23,78.8181,90.89,1.7968,0.4864,,94.762,30302,43.69,1.1204,26.52,19.44,28.575
2015-01-26,80.2876,91.76,1.8241,0.5107,,94.802,30302,42.9,1.1238,27.27,19.43,28.515
2015-01-27,79.3779,90.95,1.8231,0.5105,,94.022,30302,43.24,1.1381,26.97,19.43,28.59
2015-01-28,76.4691,87.95,1.7207,0.4654,,94.46700000000001,30302,44.08,1.1287,25.55,19.45,28.755
2015-01-29,78.2784,87.58,1.7512,0.5158,,94.78200000000001,30302,43.88,1.1320000000000001,25.57,19.4402,28.655
2015-01-30,79.9677,87.42,1.6407,0.4488,,94.804,30302,44.83,1.1291,26.6,19.63,28.905
2015-02-02,80.1276,89.58,1.6642,0.4586,,94.50399999999999,30285,48.19,1.1341,27.9,19.57,28.895
2015-02-03,82.1168,92.25,1.7915,0.5079,,93.6,30285,51.77,1.1481,28.79,19.52,28.72
2015-02-04,80.8173,91.46,1.7513,0.4842,,93.986,30285,52.22,1.1345,27.98,19.5166,28.765
2015-02-05,82.0868,92.36,1.8204,0.5198,,93.569,30285,50.81,1.1477,28.38,19.5499,28.635
2015-02-06,81.717,91.5,1.9567,0.6435,,94.698,30285,53.36,1.1316,27.96,19.374000000000002,28.43
2015-02-09,81.2272,91.56,1.9775,0.6517,,94.449,30285,53.58,1.1325,28.31,19.33,28.4
2015-02-10,81.2772,91.01,1.9967,0.6499,,94.758,30285,53.14,1.1321,28.38,19.33,28.29
2015-02-11,79.9477,90.6,2.0176,0.6642,,94.985,30285,52.21,1.1336,28.08,19.24,28.21
2015-02-12,82.0069,92.37,1.9844,0.6242,,94.094,30285,52.86,1.1403,28.78,19.3,28.17
2015-02-13,83.0764,93.37,2.0504,0.6411,,94.20100000000001,30285,55.97,1.1394,29.49,19.3,28.115
2015-02-16,83.0764,93.37,2.0504,0.6411,,94.20100000000001,30285,56.43,1.1355,29.49,19.3,28.115
2015-02-17,82.4967,93.05,2.1379,0.6615,,94.061,30285,56.69,1.1411,29.63,19.21,27.95
2015-02-18,81.3371,91.01,2.08,0.597,,94.198,30285,56.83,1.1397,29.02,19.21,28.075
2015-02-19,80.5774,89.44,2.1142,0.6174,,94.404,30285,56.29,1.1368,29.01,19.2399,28.03
2015-02-20,80.0676,89.92,2.1117,0.6321,,94.25299999999999,30285,56.55,1.1381,28.47,19.29,28.03
2015-02-23,79.7678,89.01,2.0574,0.6017,,94.569,30285,54.09,1.1335,28.54,19.19,28.105
2015-02-24,79.7178,89.42,1.98,0.5529,,94.493,30285,53.54,1.1340000000000001,28.83,19.19,28.28
2015-02-25,80.1776,89.6,1.9688,0.6026,,94.213,30285,53.81,1.1361,29.06,19.3,28.35
2015-02-26,78.2884,88.65,2.0295,0.6461,,95.292,30285,56.07,1.1198,28.0,19.35,28.33
2015-02-27,77.8485,88.54,1.993,0.6184,,95.29299999999999,30285,56.83,1.1196,27.86,19.45,28.505
2015-03-02,77.7086,88.04,2.082,0.6621,,95.462,30428,56.74,1.1184,27.67,19.4062,28.22
2015-03-03,77.9785,87.62,2.1189,0.6782,,95.383,30428,55.94,1.1176,27.74,19.38,28.26
2015-03-04,78.2984,87.18,2.1172,0.6546,,95.965,30428,55.82,1.1078,27.61,19.31,28.315
2015-03-05,77.4587,86.74,2.1154,0.6389,,96.37799999999999,30428,55.77,1.103,27.34,19.31,28.265
2015-03-06,74.7398,85.63,2.2414,0.7234,,97.615,30428,55.63,1.0844,26.78,19.17,27.95
2015-03-09,74.7698,85.16,2.1907,0.6917,,97.588,30428,54.53,1.0852,26.3,19.122,27.885
2015-03-10,73.7902,84.26,2.1297,0.6799,,98.618,30428,53.03,1.0698,25.82,19.14,27.935
2015-03-11,74.23,84.02,2.1086,0.6802,,99.795,30428,52.25,1.0547,25.79,19.13,27.9722
2015-03-12,74.5499,84.22,2.1156,0.6644,,99.435,30428,53.16,1.0635,25.61,19.160999999999998,27.925
2015-03-13,72.8106,83.87,2.114,0.657,,100.33,30428,51.66,1.0496,25.78,19.082,27.8
2015-03-16,73.0805,84.76,2.0717,0.6491,,99.604,30428,49.46,1.0568,26.01,19.12,27.825
2015-03-17,72.3308,84.08,2.0507,0.6716,,99.585,30428,48.76,1.0597,25.56,19.08,27.87
2015-03-18,73.9801,86.07,1.9199,0.5525,,98.55,30428,49.17,1.0864,26.34,19.2804,28.32
2015-03-19,71.84100000000001,84.41,1.9685,0.6092,,99.26,30428,50.17,1.0659999999999998,25.69,19.2804,28.335
2015-03-20,72.6906,84.54,1.9303,0.5812,,97.90899999999999,30428,49.93,1.0821,26.18,19.33,28.42
2015-03-23,72.8306,85.43,1.912,0.5691,,97.03299999999999,30428,50.3,1.0946,25.91,19.33,28.395
2015-03-24,72.4207,84.52,1.8731,0.557,,97.193,30428,50.92,1.0924,25.9,19.35,28.565
2015-03-25,73.6902,84.86,1.925,0.6023,,96.979,30428,50.83,1.097,26.41,19.3923,28.505
2015-03-26,73.7002,84.32,1.9894,0.6102,,97.436,30428,54.55,1.0884,26.38,19.33,28.355
2015-03-27,72.6906,83.58,1.9615,0.5944,,97.291,30428,52.93,1.0889,25.9,19.335,28.36
2015-03-30,73.9501,85.63,1.9475,0.5787,,97.975,30428,51.45,1.0833,26.43,19.29,28.285
2015-03-31,72.9705,85.0,1.9231,0.5551,,98.35700000000001,31176,51.06,1.0731,26.11,19.36,28.35
2015-04-01,74.21,84.46,1.8573,0.5355,,98.185,31176,52.48,1.0763,26.64,19.46,28.6
2015-04-02,74.5199,84.3,1.9117,0.5396,,97.436,31176,52.93,1.088,27.07,19.31,28.45
2015-04-03,74.5199,84.3,1.8389,0.4762,,96.545,31176,53.1,1.0969,27.07,19.31,28.45
2015-04-06,76.4791,85.13,1.8952,0.496,,96.777,31176,53.2,1.0922,27.9,19.4899,28.56
2015-04-07,76.779,85.75,1.8848,0.5159,,97.83,31176,54.61,1.0814,28.16,19.46,28.6394
2015-04-08,76.5691,84.06,1.9047,0.5318,,97.94,31176,54.28,1.0781,27.96,19.4,28.5494
2015-04-09,77.7986,84.65,1.9596,0.5478,,99.155,31176,53.52,1.0659,28.77,19.4,28.45
2015-04-10,78.4183,85.56,1.9473,0.556,,99.338,31176,54.04,1.0604,29.18,19.4,28.405
2015-04-13,77.7086,85.34,1.9272,0.528,,99.49,31176,55.86,1.0567,28.9,19.4032,28.45
