,XOM,MRO,OXY
2015-01-01,11337219,6082724,3555803
2015-01-02,10220410,5282315,3634610
2015-01-05,18502381,7905134,6104730
2015-01-06,16670713,11319995,6038092
2015-01-07,13590721,7213727,5475349
2015-01-08,15487496,11658155,6734730
2015-01-09,14488415,9600672,5203863
2015-01-12,15176303,8148149,7127751
2015-01-13,17469028,10820389,7084487
2015-01-14,23272056,10407592,7109842
2015-01-15,18759590,6164984,7271531
2015-01-16,17713093,7354182,6564058
2015-01-19,17713093,7354182,6564058
2015-01-20,16760994,7265754,5610811
2015-01-21,14276380,6111928,4491715
2015-01-22,13558953,6521339,5221583
2015-01-23,14706313,6296591,4870102
2015-01-26,10672507,5068004,3871352
2015-01-27,12301462,6458451,4468033
2015-01-28,17829700,7137674,6174824
2015-01-29,22682981,7761757,6297638
2015-01-30,22679947,9581106,9218097
2015-02-02,20306347,11663232,7964109
2015-02-03,21900857,12666462,7136836
2015-02-04,19632169,11043632,6871349
2015-02-05,12809028,7309666,5246950
2015-02-06,12331189,8563999,4681576
2015-02-09,11360679,6373702,6582524
2015-02-10,12952873,7840153,5630777
2015-02-11,12240595,6472699,4827822
2015-02-12,14842992,6066446,6010482
2015-02-13,12060981,6615016,4523048
2015-02-16,12060981,6615016,4523048
2015-02-17,11758746,8148928,4490839
2015-02-18,19177925,8283433,5191226
2015-02-19,19350556,10128358,4521458
2015-02-20,15959865,9721418,3783058
2015-02-23,12771790,6024597,3162337
2015-02-24,9990726,6053522,2710934
2015-02-25,9925652,5724517,2892413
2015-02-26,13984008,7463173,4696394
2015-02-27,13090560,5419343,5123759
2015-03-02,13793671,5838527,4456110
2015-03-03,13493839,4665407,4275251
2015-03-04,13467554,5752958,3216799
2015-03-05,12527581,4662835,3614559
2015-03-06,16070466,5235027,5085374
2015-03-09,14503802,6099562,3399917
2015-03-10,17195460,6198909,4199367
2015-03-11,13004655,7315215,3457784
2015-03-12,10792898,6936281,4268762
2015-03-13,16799920,6916434,6199662
2015-03-16,13516235,5028376,5442558
2015-03-17,12979713,5121565,3941507
2015-03-18,18745653,7257217,4181639
2015-03-19,12738497,5958918,5466362
2015-03-20,36083450,12289916,13407501
2015-03-23,17450685,6559244,3767487
2015-03-24,10174292,5937272,2861855
2015-03-25,11934737,6302718,4783441
2015-03-26,14400695,7974141,4952509
2015-03-27,11579299,5166877,3598985
2015-03-30,15653170,5348781,3907040
2015-03-31,13353990,5712692,4892869
2015-04-01,14522257,6806643,4429167
2015-04-02,11297401,8614182,5277579
2015-04-03,11297401,8614182,5277579
2015-04-06,10916434,7564760,6997452
2015-04-07,11836065,6695524,4482065
2015-04-08,16257095,7566568,5089682
2015-04-09,13281833,9637294,4100857
2015-04-10,13372433,7650487,3338221
2015-04-13,9880507,4685299,2654992
2015-04-14,15693825,6371449,4573449
2015-04-15,15332834,10770967,6766474
2015-04-16,9570809,6356530,5510780
2015-04-17,14430130,7920337,6579346
2015-04-20,11593561,8873997,3881136
2015-04-21,10100460,6408825,2982318
2015-04-22,8663587,5596261,3466230
2015-04-23,9866129,5402398,3425361
2015-04-24,8405737,6156808,3432011
2015-04-27,10534606,5194204,4671104
2015-04-28,9633764,5709677,2747615
2015-04-29,12534119,6831007,3929699
2015-04-30,13947730,6826177,3855225
2015-05-01,12257076,5367544,3351709
2015-05-04,10343675,8658230,2778351
2015-05-05,11895027,9686976,4876624
2015-05-06,11273450,8453917,6801009
2015-05-07,9992451,11315649,6703303
2015-05-08,11390293,10442665,6213059
2015-05-11,11997787,9064570,4985753
2015-05-12,9788887,6300824,4101038
2015-05-13,8629433,6561320,3524789
2015-05-14,8791275,7124847,2457982
2015-05-15,8422209,5156624,2724745
2015-05-18,6395354,6184794,3209162
2015-05-19,9777078,5971008,5170806
2015-05-20,7276571,5643401,3627559
2015-05-21,8357353,7370098,3460102
2015-05-22,7598432,6049846,3740877
2015-05-25,7598432,6049846,3740877
2015-05-26,11288963,6098633,5200648
2015-05-27,10778275,5114402,4090261
2015-05-28,8038943,4732475,4787805
2015-05-29,14631316,5264155,6049098
2015-06-01,9077512,4985698,5066495
2015-06-02,9328322,8556262,5438433
2015-06-03,8179540,5054155,4171026
2015-06-04,12607257,4377668,4749181
2015-06-05,11388508,5321695,5369633
2015-06-08,12244688,4698169,4815541
2015-06-09,8105514,3281219,4066939
2015-06-10,10147049,3405668,4643648
2015-06-11,7759265,4144692,3355602
2015-06-12,8347341,4453876,3671322
2015-06-15,9563933,4643396,3037094
2015-06-16,9100116,3288273,3747297
2015-06-17,9090188,3478142,4163755
2015-06-18,10247825,3904190,4335143
2015-06-19,16129576,8063667,5622169
2015-06-22,9465144,3382905,3588745
2015-06-23,10223910,4661640,4640647
2015-06-24,11800118,7571859,3859749
2015-06-25,10259382,10990806,4245391
2015-06-26,19023328,18316778,5961558
2015-06-29,11739236,13296352,4893559
2015-06-30,14981145,8528994,4075201
2015-07-01,13529076,8710892,4242691
2015-07-02,9187997,6216178,3007405
2015-07-03,9187997,6216178,3007405
2015-07-06,11694425,6449161,4217406
2015-07-07,15641535,8451085,4818491
2015-07-08,10056994,7133538,3446601
2015-07-09,11980543,9405643,3554510
2015-07-10,8628659,6841803,3371934
2015-07-13,8026658,5953261,3107747
2015-07-14,9310155,9034293,3365223
2015-07-15,9289210,8365105,4156152
2015-07-16,8267647,6633980,4419937
2015-07-17,12156000,6230565,4105193
2015-07-20,12957060,8700442,5402149
2015-07-21,8677069,9206213,4008964
2015-07-22,13181463,11190205,4960359
2015-07-23,10496096,12028965,3708043
2015-07-24,14888464,13124596,4836538
2015-07-27,14996094,9136991,6065562
2015-07-28,19777278,11840497,5107938
2015-07-29,13913768,12555698,5591665
2015-07-30,11139943,8454783,4943627
2015-07-31,26232661,8947522,4917084
2015-08-03,15767743,11247452,3998870
2015-08-04,18874419,9375615,3649707
2015-08-05,16544386,16224049,3938580
2015-08-06,13005213,21784230,5514077
2015-08-07,12187623,11654683,3206723
2015-08-10,14876012,11948231,4478096
2015-08-11,14486353,14193459,5104438
2015-08-12,16909190,12535423,8084126
2015-08-13,13154102,10108918,7357650
2015-08-14,9129284,12877259,3204728
2015-08-17,9365433,15390949,4883817
2015-08-18,9815315,8966238,3786019
2015-08-19,17010104,19827051,5700831
2015-08-20,17811205,14230906,4265601
2015-08-21,25488846,18816430,6091476
2015-08-24,35531225,22372795,10491124
2015-08-25,30409744,13423435,8425477
2015-08-26,34436044,13567343,7990193
2015-08-27,24570983,22410518,8175571
2015-08-28,18997331,21004838,6653703
2015-08-31,19570103,18458604,7338513
2015-09-01,24092930,17820406,7094487
2015-09-02,16936898,14667757,5666250
