DATE,DFF,DFII10,DGS1MO,DGS2,DGS10
2012-02-29,0.1,-0.28,0.08,0.3,1.98
2012-03-01,0.11,-0.23,0.07,0.3,2.03
2012-03-02,0.11,-0.24,0.06,0.28,1.99
2012-03-03,0.11,,,,
2012-03-04,0.11,,,,
2012-03-05,0.11,-0.2,0.07,0.31,2.0
2012-03-06,0.11,-0.21,0.06,0.3,1.96
2012-03-07,0.11,-0.22,0.06,0.3,1.98
2012-03-08,0.11,-0.21,0.07,0.32,2.03
2012-03-09,0.12,-0.24,0.06,0.33,2.04
2012-03-10,0.12,,,,
2012-03-11,0.12,,,,
2012-03-12,0.12,-0.24,0.05,0.33,2.04
2012-03-13,0.12,-0.2,0.06,0.35,2.14
2012-03-14,0.13,-0.07,0.08,0.4,2.29
2012-03-15,0.14,-0.08,0.08,0.37,2.29
2012-03-16,0.15,-0.09,0.07,0.37,2.31
2012-03-17,0.15,,,,
2012-03-18,0.15,,,,
2012-03-19,0.15,-0.03,0.07,0.39,2.39
2012-03-20,0.15,-0.04,0.08,0.41,2.38
2012-03-21,0.15,-0.08,0.09,0.39,2.31
2012-03-22,0.14,-0.08,0.06,0.37,2.29
2012-03-23,0.14,-0.11,0.06,0.37,2.25
2012-03-24,0.14,,,,
2012-03-25,0.14,,,,
2012-03-26,0.14,-0.08,0.06,0.36,2.26
2012-03-27,0.14,-0.13,0.07,0.33,2.2
2012-03-28,0.13,-0.11,0.05,0.34,2.21
2012-03-29,0.13,-0.13,0.02,0.33,2.18
2012-03-30,0.09,-0.09,0.05,0.33,2.23
2012-03-31,0.09,,,,
2012-04-01,0.09,,,,
2012-04-02,0.15,-0.14,0.05,0.33,2.22
2012-04-03,0.15,-0.06,0.07,0.36,2.3
2012-04-04,0.15,-0.05,0.08,0.35,2.25
2012-04-05,0.15,-0.08,0.07,0.35,2.19
2012-04-06,0.12,-0.16,0.06,0.32,2.07
2012-04-07,0.12,,,,
2012-04-08,0.12,,,,
2012-04-09,0.16,-0.17,0.07,0.32,2.06
2012-04-10,0.15,-0.24,0.08,0.28,2.01
2012-04-11,0.16,-0.25,0.08,0.3,2.05
2012-04-12,0.15,-0.22,0.08,0.29,2.08
2012-04-13,0.15,-0.25,0.07,0.27,2.02
2012-04-14,0.15,,,,
2012-04-15,0.15,,,,
2012-04-16,0.15,-0.26,0.07,0.27,2.0
2012-04-17,0.16,-0.26,0.07,0.27,2.03
2012-04-18,0.15,-0.26,0.05,0.27,2.0
2012-04-19,0.13,-0.21,0.04,0.27,1.98
2012-04-20,0.12,-0.24,0.04,0.29,1.99
2012-04-21,0.12,,,,
2012-04-22,0.12,,,,
2012-04-23,0.13,-0.26,0.04,0.27,1.96
2012-04-24,0.14,-0.25,0.07,0.27,2.0
2012-04-25,0.15,-0.24,0.08,0.26,2.01
2012-04-26,0.14,-0.29,0.09,0.26,1.98
2012-04-27,0.13,-0.3,0.07,0.26,1.96
2012-04-28,0.13,,,,
2012-04-29,0.13,,,,
2012-04-30,0.16,-0.3,0.07,0.27,1.95
2012-05-01,0.16,-0.28,0.07,0.27,1.98
2012-05-02,0.15,-0.28,0.06,0.27,1.96
2012-05-03,0.15,-0.27,0.05,0.28,1.96
2012-05-04,0.16,-0.3,0.05,0.27,1.91
2012-05-05,0.16,,,,
2012-05-06,0.16,,,,
2012-05-07,0.16,-0.27,0.06,0.27,1.92
2012-05-08,0.16,-0.28,0.08,0.27,1.88
2012-05-09,0.15,-0.27,0.07,0.27,1.87
2012-05-10,0.15,-0.25,0.08,0.27,1.89
2012-05-11,0.15,-0.28,0.07,0.27,1.84
2012-05-12,0.15,,,,
2012-05-13,0.15,,,,
2012-05-14,0.16,-0.33,0.07,0.29,1.78
2012-05-15,0.16,-0.36,0.08,0.29,1.76
2012-05-16,0.16,-0.33,0.08,0.3,1.76
2012-05-17,0.16,-0.35,0.08,0.32,1.7
2012-05-18,0.16,-0.39,0.06,0.32,1.71
2012-05-19,0.16,,,,
2012-05-20,0.16,,,,
2012-05-21,0.16,-0.41,0.06,0.3,1.75
2012-05-22,0.16,-0.38,0.07,0.3,1.79
2012-05-23,0.15,-0.41,0.07,0.28,1.73
2012-05-24,0.15,-0.37,0.08,0.29,1.77
2012-05-25,0.15,-0.38,0.07,0.3,1.75
2012-05-26,0.15,,,,
2012-05-27,0.15,,,,
2012-05-28,0.15,,,,
2012-05-29,0.16,-0.37,0.06,0.3,1.74
2012-05-30,0.16,-0.45,0.05,0.27,1.63
2012-05-31,0.16,-0.5,0.03,0.27,1.59
2012-06-01,0.16,-0.59,0.03,0.25,1.47
2012-06-02,0.16,,,,
2012-06-03,0.16,,,,
2012-06-04,0.17,-0.56,0.04,0.25,1.53
2012-06-05,0.17,-0.56,0.05,0.25,1.57
2012-06-06,0.16,-0.5,0.05,0.26,1.66
2012-06-07,0.16,-0.49,0.04,0.27,1.66
2012-06-08,0.17,-0.5,0.04,0.28,1.65
2012-06-09,0.17,,,,
2012-06-10,0.17,,,,
2012-06-11,0.17,-0.53,0.05,0.27,1.6
2012-06-12,0.16,-0.48,0.06,0.3,1.67
2012-06-13,0.17,-0.51,0.07,0.3,1.61
2012-06-14,0.17,-0.47,0.08,0.3,1.64
2012-06-15,0.18,-0.54,0.05,0.29,1.6
2012-06-16,0.18,,,,
2012-06-17,0.18,,,,
2012-06-18,0.17,-0.54,0.06,0.29,1.59
2012-06-19,0.17,-0.53,0.06,0.3,1.64
2012-06-20,0.16,-0.51,0.06,0.32,1.65
2012-06-21,0.17,-0.47,0.05,0.32,1.63
2012-06-22,0.17,-0.42,0.05,0.31,1.69
2012-06-23,0.17,,,,
2012-06-24,0.17,,,,
2012-06-25,0.17,-0.47,0.06,0.31,1.63
2012-06-26,0.16,-0.45,0.07,0.31,1.66
2012-06-27,0.15,-0.45,0.06,0.31,1.65
2012-06-28,0.15,-0.48,0.02,0.31,1.6
2012-06-29,0.09,-0.46,0.04,0.33,1.67
2012-06-30,0.09,,,,
2012-07-01,0.09,,,,
2012-07-02,0.18,-0.5,0.06,0.3,1.61
2012-07-03,0.17,-0.48,0.08,0.3,1.65
2012-07-04,0.17,,,,
2012-07-05,0.17,-0.51,0.07,0.28,1.62
