Date,Date,non-OPEC Production change,WTI Real Price (GDP Deflated)
1Q 2001,2001,0.72,34.91
2Q 2001,2001,0.48,33.67
3Q 2001,2001,0.59,32.1
4Q 2001,2001,0.64,24.52
1Q 2002,2002,0.8,25.86
2Q 2002,2002,1.56,31.27
3Q 2002,2002,0.74,33.53
4Q 2002,2002,0.74,33.3
1Q 2003,2003,1.14,39.89
2Q 2003,2003,0.29,33.84
3Q 2003,2003,1.28,35.09
4Q 2003,2003,1.62,36
1Q 2004,2004,1.19,40.49
2Q 2004,2004,1.72,43.56
3Q 2004,2004,0.87,49.53
4Q 2004,2004,0.49,53.97
1Q 2005,2005,0.14,55.52
2Q 2005,2005,0.55,58.66
3Q 2005,2005,-0.34,69.28
4Q 2005,2005,-0.75,65.12
1Q 2006,2006,-0.16,68.24
2Q 2006,2006,-0.44,75.29
3Q 2006,2006,1.2,74.83
4Q 2006,2006,1.04,63.33
1Q 2007,2007,0.58,60.76
2Q 2007,2007,0.59,67.55
3Q 2007,2007,-0.18,77.88
4Q 2007,2007,0.12,93.33
1Q 2008,2008,0.02,100.39
2Q 2008,2008,-0.06,126.52
3Q 2008,2008,-0.15,119.99
4Q 2008,2008,-0.05,59.42
1Q 2009,2009,0.28,43.67
2Q 2009,2009,0.58,60.42
3Q 2009,2009,1.38,68.96
4Q 2009,2009,1.38,76.71
1Q 2010,2010,1.64,79.34
2Q 2010,2010,1.89,77.98
3Q 2010,2010,1.66,75.95
4Q 2010,2010,1.74,84.61
1Q 2011,2011,0.97,92.93
2Q 2011,2011,0.25,100.07
3Q 2011,2011,0.26,87.32
4Q 2011,2011,0.29,91.68
1Q 2012,2012,0.86,99.71
2Q 2012,2012,0.68,89.99
3Q 2012,2012,0.52,88.36
4Q 2012,2012,1.17,84.02
1Q 2013,2013,0.62,89.7
2Q 2013,2013,1.56,89.17
3Q 2013,2013,2.37,99.8
4Q 2013,2013,1.96,91.43
1Q 2014,2014,2.33,92.16
2Q 2014,2014,2.62,95.97
3Q 2014,2014,2.38,90.47
4Q 2014,2014,2.77,67.63
1Q 2015,2015,2.42,44.79
2Q 2015,2015,1.58,53.15
3Q 2015,2015,1.4,42.66
4Q 2015,2015,0.43,38.43
1Q 2016,2016,-0.08,30.58
2Q 2016,2016,-0.92,41.41
3Q 2016,2016,-1.13,40.73
4Q 2016,2016,-0.54,44.42
1Q 2017,2017,-0.03,46.4
2Q 2017,2017,0.9,43.09
3Q 2017,2017,1.01,42.9
4Q 2017,2017,0.98,48.91
1Q 2018,2018,1.76,55.34
2Q 2018,2018,2.56,59.42
3Q 2018,2018,3.48,60.57
4Q 2018,2018,3.51,51.54
1Q 2019,2019,2.36,47.28
2Q 2019,2019,2.07,51.35
3Q 2019,2019,1.51,48.16
4Q 2019,2019,1.81,48.41
1Q 2020,2020,2.42,38.45
2Q 2020,2020,-3.91,23.8
3Q 2020,2020,-3.91,34.5
4Q 2020,2020,-4.64,35.66
1Q 2021,2021,-4.65,48.23
2Q 2021,2021,2.54,54.15
3Q 2021,2021,2.31,56.93
4Q 2021,2021,2.83,61.24
1Q 2022,2022,3.01,74.6
2Q 2022,2022,1.68,79
3Q 2022,2022,2.02,76.02
4Q 2022,2022,1.37,73.24
1Q 2023,2023,1.4,70.74
2Q 2023,2023,1.99,67.77
3Q 2023,2023,1.38,65.1
4Q 2023,2023,1.06,62.46
