DATE,DGS1MO,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10
2012-02-29,0.08,0.08,0.13,0.18,0.3,0.43,0.87,1.39,1.98
2012-03-01,0.07,0.08,0.13,0.18,0.3,0.43,0.89,1.44,2.03
2012-03-02,0.06,0.07,0.12,0.17,0.28,0.41,0.84,1.38,1.99
2012-03-05,0.07,0.08,0.14,0.17,0.31,0.43,0.87,1.4,2.0
2012-03-06,0.06,0.08,0.13,0.17,0.3,0.4,0.83,1.35,1.96
2012-03-07,0.06,0.08,0.14,0.18,0.3,0.42,0.85,1.37,1.98
2012-03-08,0.07,0.08,0.14,0.18,0.32,0.44,0.89,1.41,2.03
2012-03-09,0.06,0.09,0.13,0.18,0.33,0.46,0.9,1.43,2.04
2012-03-12,0.05,0.09,0.15,0.18,0.33,0.47,0.92,1.43,2.04
2012-03-13,0.06,0.08,0.15,0.2,0.35,0.51,0.99,1.52,2.14
2012-03-14,0.08,0.09,0.15,0.21,0.4,0.6,1.13,1.69,2.29
2012-03-15,0.08,0.08,0.15,0.21,0.37,0.56,1.11,1.67,2.29
2012-03-16,0.07,0.09,0.15,0.21,0.37,0.57,1.13,1.7,2.31
2012-03-19,0.07,0.1,0.15,0.21,0.39,0.6,1.2,1.77,2.39
2012-03-20,0.08,0.1,0.15,0.22,0.41,0.62,1.22,1.78,2.38
2012-03-21,0.09,0.09,0.15,0.21,0.39,0.58,1.15,1.71,2.31
2012-03-22,0.06,0.08,0.14,0.19,0.37,0.56,1.13,1.69,2.29
2012-03-23,0.06,0.08,0.14,0.19,0.37,0.55,1.1,1.66,2.25
2012-03-26,0.06,0.09,0.15,0.19,0.36,0.54,1.09,1.65,2.26
2012-03-27,0.07,0.09,0.14,0.18,0.33,0.5,1.04,1.59,2.2
2012-03-28,0.05,0.09,0.14,0.18,0.34,0.51,1.05,1.6,2.21
2012-03-29,0.02,0.07,0.14,0.18,0.33,0.5,1.01,1.57,2.18
2012-03-30,0.05,0.07,0.15,0.19,0.33,0.51,1.04,1.61,2.23
2012-04-02,0.05,0.08,0.14,0.18,0.33,0.5,1.03,1.6,2.22
2012-04-03,0.07,0.08,0.15,0.2,0.36,0.56,1.1,1.68,2.3
2012-04-04,0.08,0.08,0.14,0.19,0.35,0.53,1.05,1.62,2.25
2012-04-05,0.07,0.08,0.14,0.19,0.35,0.5,1.01,1.56,2.19
2012-04-06,0.06,0.07,0.14,0.19,0.32,0.45,0.89,1.42,2.07
2012-04-09,0.07,0.09,0.15,0.19,0.32,0.46,0.9,1.42,2.06
2012-04-10,0.08,0.09,0.15,0.19,0.28,0.42,0.85,1.37,2.01
2012-04-11,0.08,0.09,0.14,0.18,0.3,0.43,0.89,1.41,2.05
2012-04-12,0.08,0.09,0.14,0.18,0.29,0.43,0.9,1.44,2.08
2012-04-13,0.07,0.09,0.13,0.17,0.27,0.41,0.86,1.39,2.02
2012-04-16,0.07,0.08,0.14,0.18,0.27,0.42,0.85,1.37,2.0
2012-04-17,0.07,0.08,0.13,0.18,0.27,0.42,0.88,1.4,2.03
2012-04-18,0.05,0.07,0.13,0.18,0.27,0.4,0.86,1.38,2.0
2012-04-19,0.04,0.07,0.12,0.17,0.27,0.4,0.84,1.37,1.98
2012-04-20,0.04,0.08,0.13,0.18,0.29,0.4,0.86,1.38,1.99
2012-04-23,0.04,0.08,0.13,0.17,0.27,0.39,0.83,1.34,1.96
2012-04-24,0.07,0.09,0.14,0.18,0.27,0.4,0.86,1.37,2.0
2012-04-25,0.08,0.09,0.14,0.18,0.26,0.39,0.86,1.38,2.01
2012-04-26,0.09,0.09,0.15,0.18,0.26,0.39,0.83,1.36,1.98
2012-04-27,0.07,0.09,0.14,0.19,0.26,0.39,0.82,1.34,1.96
2012-04-30,0.07,0.1,0.15,0.2,0.27,0.38,0.82,1.33,1.95
2012-05-01,0.07,0.09,0.15,0.19,0.27,0.39,0.84,1.35,1.98
2012-05-02,0.06,0.08,0.15,0.18,0.27,0.39,0.82,1.33,1.96
2012-05-03,0.05,0.09,0.15,0.19,0.28,0.4,0.82,1.34,1.96
2012-05-04,0.05,0.07,0.14,0.18,0.27,0.37,0.78,1.28,1.91
2012-05-07,0.06,0.1,0.15,0.18,0.27,0.37,0.79,1.29,1.92
2012-05-08,0.08,0.09,0.15,0.18,0.27,0.36,0.77,1.26,1.88
2012-05-09,0.07,0.09,0.15,0.18,0.27,0.36,0.77,1.26,1.87
2012-05-10,0.08,0.1,0.15,0.18,0.27,0.37,0.79,1.28,1.89
2012-05-11,0.07,0.1,0.15,0.18,0.27,0.36,0.75,1.24,1.84
2012-05-14,0.07,0.1,0.15,0.19,0.29,0.37,0.73,1.2,1.78
2012-05-15,0.08,0.09,0.15,0.19,0.29,0.38,0.74,1.19,1.76
2012-05-16,0.08,0.1,0.15,0.2,0.3,0.4,0.75,1.19,1.76
