Date,Date,Saudi Production Change,WTI Production Change
1Q 2001,2001,0.58,-0.38
2Q 2001,2001,-0.18,-3.45
3Q 2001,2001,-0.68,-15.49
4Q 2001,2001,-1.19,-36.16
1Q 2002,2002,-1.17,-24.76
2Q 2002,2002,-0.53,-5.93
3Q 2002,2002,-0.27,5.97
4Q 2002,2002,0.37,38.09
1Q 2003,2003,1.62,57.3
2Q 2003,2003,1.69,10.32
3Q 2003,2003,0.75,6.8
4Q 2003,2003,0.52,10.32
1Q 2004,2004,-0.3,3.78
2Q 2004,2004,-0.36,32.21
3Q 2004,2004,0.98,45.06
4Q 2004,2004,0.97,54.39
1Q 2005,2005,0.9,41.24
2Q 2005,2005,0.8,38.61
3Q 2005,2005,0.1,44.41
4Q 2005,2005,0,24.61
1Q 2006,2006,-0.09,26.86
2Q 2006,2006,-0.38,32.68
3Q 2006,2006,-0.4,11.42
4Q 2006,2006,-0.72,-0.1
1Q 2007,2007,-0.76,-8.25
2Q 2007,2007,-0.62,-7.8
3Q 2007,2007,-0.54,6.64
4Q 2007,2007,0.18,51.15
1Q 2008,2008,0.55,68.5
2Q 2008,2008,0.72,90.52
3Q 2008,2008,0.9,57.25
4Q 2008,2008,-0.02,-35.22
1Q 2009,2009,-1.13,-55.91
2Q 2009,2009,-1.19,-51.84
3Q 2009,2009,-1.17,-42.45
4Q 2009,2009,-0.68,29.51
1Q 2010,2010,0.07,82.68
2Q 2010,2010,0.03,30.55
3Q 2010,2010,-0.22,11.74
4Q 2010,2010,-0.05,12.14
1Q 2011,2011,0.75,19.36
2Q 2011,2011,0.97,31.11
3Q 2011,2011,1.62,17.65
4Q 2011,2011,1.48,10.4
1Q 2012,2012,1.04,9.43
2Q 2012,2012,0.72,-8.56
3Q 2012,2012,0.1,2.99
4Q 2012,2012,-0.21,-6.46
1Q 2013,2013,-0.83,-8.37
2Q 2013,2013,-0.25,0.82
3Q 2013,2013,0.2,14.82
4Q 2013,2013,0.31,10.78
1Q 2014,2014,0.7,4.61
2Q 2014,2014,0.05,9.89
3Q 2014,2014,-0.4,-7.52
4Q 2014,2014,-0.17,-24.91
1Q 2015,2015,0.01,-50.87
2Q 2015,2015,0.63,-44.02
3Q 2015,2015,0.59,-52.43
4Q 2015,2015,0.5,-42.72
1Q 2016,2016,0.4,-31.21
2Q 2016,2016,0.05,-21.42
3Q 2016,2016,0.31,-3.66
4Q 2016,2016,0.42,17.27
1Q 2017,2017,-0.22,54.82
2Q 2017,2017,-0.24,5.82
3Q 2017,2017,-0.42,7.37
4Q 2017,2017,-0.44,12.37
1Q 2018,2018,0.13,21.83
2Q 2018,2018,0.11,41.5
3Q 2018,2018,0.3,44.71
4Q 2018,2018,0.63,7.83
1Q 2019,2019,-0.11,-12.85
2Q 2019,2019,-0.28,-12.03
3Q 2019,2019,-1.1,-19.14
4Q 2019,2019,-0.9,-4.58
1Q 2020,2020,-0.2,-17.31
2Q 2020,2020,-0.64,-53.3
3Q 2020,2020,-0.61,-27.44
4Q 2020,2020,-0.82,-25.26
1Q 2021,2021,-1.31,28.13
2Q 2021,2021,-0.75,136.71
3Q 2021,2021,0.78,72.69
4Q 2021,2021,0.86,81.81
1Q 2022,2022,1.59,63.85
